ఆఫ్రికా	非洲
వర్గం:1984	Category:1984年
వర్గం:1984 మరణాలు	Category:1984年逝世
వర్గం:1985	Category:1985年
వర్గం:1985 మరణాలు	Category:1985年逝世
వర్గం:1986	Category:1986年
వర్గం:1987	Category:1987年
వర్గం:1987 మరణాలు	Category:1987年逝世
వర్గం:1988	Category:1988年
వర్గం:1989	Category:1989年
వర్గం:1989 మరణాలు	Category:1989年逝世
వర్గం:1990	Category:1990年
వర్గం:1990 మరణాలు	Category:1990年逝世
వర్గం:1991	Category:1991年
వర్గం:1992	Category:1992年
వర్గం:1993	Category:1993年
వర్గం:1994	Category:1994年
వర్గం:1995	Category:1995年
వర్గం:1995 మరణాలు	Category:1995年逝世
వర్గం:1996	Category:1996年
వర్గం:1996 మరణాలు	Category:1996年逝世
వర్గం:1997	Category:1997年
వర్గం:1997 మరణాలు	Category:1997年逝世
వర్గం:1999	Category:1999年
వర్గం:2000	Category:2000年
వర్గం:2000 మరణాలు	Category:2000年逝世
వర్గం:2001	Category:2001年
వర్గం:2001 మరణాలు	Category:2001年逝世
వర్గం:2002	Category:2002年
వర్గం:2002 మరణాలు	Category:2002年逝世
వర్గం:2003 మరణాలు	Category:2003年逝世
వర్గం:2004	Category:2004年
వర్గం:2004 మరణాలు	Category:2004年逝世
వర్గం:2005	Category:2005年
వర్గం:2006	Category:2006年
వర్గం:2006 మరణాలు	Category:2006年逝世
వర్గం:2007	Category:2007年
వర్గం:2008	Category:2008年
వర్గం:2009	Category:2009年
వర్గం:2010	Category:2010年
వర్గం:2011	Category:2011年
వర్గం:ద్వీప దేశాలు	Category:岛国
వర్గం:స్థాపితాలు	Category:建立
వర్గం:కరెన్సీ	Category:通貨
మూస:Infobox Language/family-color	Template:Infobox Language/family-color
వర్గం:నదులు	Category:河流
వర్గం:1967 తెలుగు సినిమాలు	Category:1967年电影
మూస:User ru-1	Template:User ru-1
వర్గం:భారతదేశ నదులు	Category:印度河流
వర్గం:భారతదేశ రవాణా వ్యవస్థ	Category:印度交通
వర్గం:ప్రైవేట్ విశ్వవిద్యాలయాలు	Category:私立大学
మూస:Non-free currency	Template:Money
వర్గం:పౌరశాస్త్రం	Category:公民教育
వర్గం:భారత అర్చెరీ క్రీడాకారులు	Category:印度射箭運動員
వర్గం:భారతీయులు	Category:印度人
వర్గం:Rail transport navigational boxes	Category:鐵路信息框模板
వర్గం:గూగుల్ సేవలు	Category:Google服務
వర్గం:బ్రిటీష్ ఆర్థిక వేత్తలు	Category:英国经济学家
వర్గం:User no-2	Category:No-2 使用者
వర్గం:User no	Category:No 使用者
వర్గం:భారతీయ రాజులు	Category:印度君主
వర్గం:వాయు నియమాలు	Category:氣體定律
వర్గం:భూటాన్	Category:不丹
వర్గం:ఉగ్రవాదం	Category:恐怖主义
వర్గం:నూతన సంవత్సర వేడుకలు	Category:新年
వర్గం:భారతీయ గణిత శాస్త్రవేత్తలు	Category:印度数学家
వర్గం:ఆవిష్కరణలు	Category:发明
వర్గం:పరుగు	Category:跑步
మూస:Tnavbar-header	Template:Tnavbar-header
వర్గం:యాంత్రిక అనువాదం	Category:機器翻譯
వర్గం:1806 స్థాపితాలు	Category:1806年建立
వర్గం:1904 స్థాపితాలు	Category:1904年建立
వర్గం:1908 స్థాపితాలు	Category:1908年建立
వర్గం:1905 స్థాపితాలు	Category:1905年建立
వర్గం:1907 స్థాపితాలు	Category:1907年建立
వర్గం:1906 స్థాపితాలు	Category:1906年建立
వర్గం:1912 స్థాపితాలు	Category:1912年建立
వర్గం:1914 స్థాపితాలు	Category:1914年建立
వర్గం:1918 స్థాపితాలు	Category:1918年建立
వర్గం:1916 స్థాపితాలు	Category:1916年建立
వర్గం:1919 స్థాపితాలు	Category:1919年建立
వర్గం:1917 స్థాపితాలు	Category:1917年建立
వర్గం:1924 స్థాపితాలు	Category:1924年建立
వర్గం:1932 స్థాపితాలు	Category:1932年建立
వర్గం:1925 స్థాపితాలు	Category:1925年建立
వర్గం:1929 స్థాపితాలు	Category:1929年建立
వర్గం:1940 స్థాపితాలు	Category:1940年建立
వర్గం:1941 స్థాపితాలు	Category:1941年建立
వర్గం:1943 స్థాపితాలు	Category:1943年建立
వర్గం:1935 స్థాపితాలు	Category:1935年建立
వర్గం:1942 స్థాపనలు	Category:1942年建立
వర్గం:1938 స్థాపితాలు	Category:1938年建立
వర్గం:1951 స్థాపితాలు	Category:1951年建立
వర్గం:1953 స్థాపితాలు	Category:1953年建立
వర్గం:1954 స్థాపితాలు	Category:1954年建立
వర్గం:1949 స్థాపితాలు	Category:1949年建立
వర్గం:1952 స్థాపితాలు	Category:1952年建立
వర్గం:1948 స్థాపితాలు	Category:1948年建立
వర్గం:1945 స్థాపితాలు	Category:1945年建立
వర్గం:1959 స్థాపితాలు	Category:1959年建立
వర్గం:1962 స్థాపితాలు	Category:1962年建立
వర్గం:1958 స్థాపితాలు	Category:1958年建立
వర్గం:1955 స్థాపనలు	Category:1955年建立
వర్గం:1956 స్థాపితాలు	Category:1956年建立
వర్గం:1964 స్థాపితాలు	Category:1964年建立
వర్గం:1974 స్థాపితాలు	Category:1974年建立
వర్గం:1971 స్థాపితాలు	Category:1971年建立
వర్గం:1970 స్థాపితాలు	Category:1970年建立
వర్గం:1973 స్థాపితాలు	Category:1973年建立
వర్గం:1975 స్థాపనలు	Category:1975年建立
వర్గం:1982 స్థాపితాలు	Category:1982年建立
వర్గం:1984 స్థాపనలు	Category:1984年建立
వర్గం:1979 స్థాపితాలు	Category:1979年建立
వర్గం:1980 స్థాపితాలు	Category:1980年建立
వర్గం:1985 స్థాపితాలు	Category:1985年建立
వర్గం:1989 స్థాపితాలు	Category:1989年建立
వర్గం:1997 స్థాపనలు	Category:1997年建立
వర్గం:2004 స్థాపితాలు	Category:2004年建立
వర్గం:1999 స్థాపితాలు	Category:1999年建立
వర్గం:2000 స్థాపితాలు	Category:2000年建立
వర్గం:1996 స్థాపితాలు	Category:1996年建立
వర్గం:1998 స్థాపితాలు	Category:1998年建立
వర్గం:2008 స్థాపితాలు	Category:2008年建立
వర్గం:వార్తలు	Category:新聞
వర్గం:వరి	Category:飯
వర్గం:1945 మరణాలు	Category:1945年逝世
వర్గం:క్రీ.పూ. 44 మరణాలు	Category:前44年逝世
వర్గం:1963 మరణాలు	Category:1963年逝世
వర్గం:1320లు	Category:1320年代
వర్గం:1370లు	Category:1370年代
వర్గం:1833	Category:1833年
వర్గం:1390లు	Category:1390年代
వర్గం:1550లు	Category:1550年代
వర్గం:1832	Category:1832年
వర్గం:1660లు	Category:1660年代
వర్గం:1930 మరణాలు	Category:1930年逝世
వర్గం:1740లు	Category:1740年代
వర్గం:1840లు	Category:1840年代
వర్గం:500లు	Category:500年代
వర్గం:580లు	Category:580年代
వర్గం:1822	Category:1822年
వర్గం:690లు	Category:690年代
వర్గం:810లు	Category:810年代
వర్గం:14 వ శతాబ్దం	Category:14世纪
వర్గం:13 వ శతాబ్దం	Category:13世纪
వర్గం:16 వ శతాబ్దం	Category:16世纪
వర్గం:12 వ శతాబ్దం	Category:12世纪
వర్గం:18 వ శతాబ్దం	Category:18世纪
వర్గం:పరిశీలన	Category:观察
వర్గం:6 వ శతాబ్దం	Category:6世纪
వర్గం:8 వ శతాబ్దం	Category:8世纪
వర్గం:భద్రత	Category:安全
వర్గం:మరణం	Category:死亡
వర్గం:వైద్యశాస్త్రంలో నోబెల్ బహుమతి గ్రహీతలు	Category:诺贝尔生理学或医学奖获得者
వర్గం:ఒలింపిక క్రీడలు	Category:奧運項目
వర్గం:మోటారు సైకిళ్లు	Category:摩托車
వర్గం:1829	Category:1829年
వర్గం:1988 మరణాలు	Category:1988年逝世
వర్గం:భారత రాజకీయ నాయకులు	Category:印度政治人物
మూస:Gallery	Template:Gallery
వర్గం:సైపరేసి	Category:莎草科
వర్గం:జలసంధులు	Category:海峡
వర్గం:1823 మరణాలు	Category:1823年逝世
వర్గం:గ్రహశకలాలు	Category:小行星
వర్గం:త్రికోణమితి	Category:三角学
వర్గం:1708	Category:1708年
వర్గం:1736	Category:1736年
వర్గం:1789	Category:1789年
వర్గం:1796	Category:1796年
వర్గం:విమానాశ్రయాలు	Category:機場
వర్గం:1821	Category:1821年
వర్గం:1825	Category:1825年
వర్గం:1828	Category:1828年
వర్గం:1837	Category:1837年
వర్గం:1838 జననాలు	Category:1838年出生
వర్గం:1841	Category:1841年
వర్గం:1850	Category:1850年
వర్గం:1867	Category:1867年
వర్గం:1873	Category:1873年
వర్గం:1878	Category:1878年
వర్గం:1896	Category:1896年
వర్గం:1924 మరణాలు	Category:1924年逝世
వర్గం:1960 మరణాలు	Category:1960年逝世
వర్గం:1963	Category:1963年
వర్గం:1981 మరణాలు	Category:1981年逝世
వర్గం:1999 మరణాలు	Category:1999年逝世
వర్గం:2012	Category:2012年
వర్గం:మూలకాలు	Category:化学元素
వర్గం:భారతీయ గాయకులు	Category:印度歌手
వర్గం:భారత చదరంగ క్రీడాకారులు	Category:印度国际象棋棋手
వర్గం:చదరంగం క్రీడాకారులు	Category:國際象棋棋手
వర్గం:భారత దేశ ఆర్థికవేత్తలు	Category:印度經濟學家
వర్గం:క్రీ.పూ. 290 మరణాలు	Category:前290年逝世
వర్గం:నోబెల్ బహుమతి	Category:诺贝尔奖
ఉత్తర గరోహిల్స్	北加若山縣
వర్గం:15 వ శతాబ్దం	Category:15世纪
వర్గం:గ్రాఫిక్స్ ఫైల్ ఫార్మాట్స్	Category:图形文件格式
వర్గం:1727	Category:1727年
వర్గం:1744	Category:1744年
వర్గం:1808	Category:1808年
వర్గం:1824	Category:1824年
వర్గం:1826	Category:1826年
వర్గం:1831	Category:1831年
వర్గం:1835 మరణాలు	Category:1835年逝世
వర్గం:1929 మరణాలు	Category:1929年逝世
వర్గం:1933 మరణాలు	Category:1933年逝世
వర్గం:1961 మరణాలు	Category:1961年逝世
వర్గం:1968	Category:1968年
వర్గం:హిందువుల పండుగలు	Category:印度教节日
వర్గం:జర్నలిజం	Category:新闻学
వర్గం:1817	Category:1817年
వర్గం:1898	Category:1898年
వర్గం:1998	Category:1998年
వర్గం:క్రీ.పూ. 71 మరణాలు	Category:前71年逝世
వర్గం:క్రీ.పూ. 370 మరణాలు	Category:前370年逝世
వర్గం:నేపాల్	Category:尼泊爾
వర్గం:రూబియేసి	Category:茜草科
వర్గం:శ్రీలంక	Category:斯里蘭卡
వర్గం:తజికిస్తాన్	Category:塔吉克
వర్గం:1795 మరణాలు	Category:1795年逝世
వర్గం:1855	Category:1855年
వర్గం:2003	Category:2003年
వర్గం:క్రీ.పూ. 350 జననాలు	Category:前350年出生
వర్గం:క్రీ.పూ. 460 జననాలు	Category:前460年出生
వర్గం:9 వ శతాబ్దం	Category:9世纪
వర్గం:మొఘల్ సామ్రాజ్యం	Category:莫卧儿帝国
వర్గం:సోవియట్ యూనియన్	Category:苏联
వర్గం:Deletion templates	Category:刪除模板
వర్గం:1971	Category:1971年
వర్గం:కర్ణాటక ప్రజలు	Category:卡納塔克邦人
వర్గం:గుజరాత్ ప్రముఖులు	Category:古吉拉特邦人
వర్గం:ఆంధ్ర ప్రదేశ్ వ్యక్తులు	Category:安得拉邦人
వర్గం:పశ్చిమ బెంగాల్ వ్యక్తులు	Category:西孟加拉邦人
పీకే	PK外傳
వర్గం:జననాలు	Category:出生年份
వర్గం:అమెరికా సంయుక్త రాష్ట్రాల అధ్యక్షులు	Category:美国总统
వర్గం:ఐరోపా చరిత్ర	Category:欧洲历史
వర్గం:మధ్య ఆసియా దేశాలు	Category:中亚国家
వర్గం:ఉత్తర అమెరికా దేశాలు	Category:北美洲國家
వర్గం:చేపలు	Category:鱼类
వర్గం:పండ్లు	Category:水果
వర్గం:రాజకీయ పార్టీలు	Category:政党
వర్గం:కీటకాహార మొక్కలు	Category:食虫植物
వర్గం:1946 తెలుగు సినిమాలు	Category:1946年电影
వర్గం:1966 తెలుగు సినిమాలు	Category:1966年电影
వర్గం:1953 తెలుగు సినిమాలు	Category:1953年电影
వర్గం:1954 తెలుగు సినిమాలు	Category:1954年电影
వర్గం:1960 తెలుగు సినిమాలు	Category:1960年电影
వర్గం:1964 తెలుగు సినిమాలు	Category:1964年电影
వర్గం:1963 తెలుగు సినిమాలు	Category:1963年电影
వర్గం:1962 తెలుగు సినిమాలు	Category:1962年电影
వర్గం:1965 తెలుగు సినిమాలు	Category:1965年电影
వర్గం:1957 తెలుగు సినిమాలు	Category:1957年电影
వర్గం:1974 తెలుగు సినిమాలు	Category:1974年电影
వర్గం:1973 తెలుగు సినిమాలు	Category:1973年電影
వర్గం:1976 తెలుగు సినిమాలు	Category:1976年电影
వర్గం:1971 తెలుగు సినిమాలు	Category:1971年電影
వర్గం:1968 తెలుగు సినిమాలు	Category:1968年电影
వర్గం:1980 తెలుగు సినిమాలు	Category:1980年電影
వర్గం:2003 తెలుగు సినిమాలు	Category:2003年电影
వర్గం:1991 తెలుగు సినిమాలు	Category:1991年電影
వర్గం:1999 తెలుగు సినిమాలు	Category:1999年电影
వర్గం:1996 తెలుగు సినిమాలు	Category:1996年電影
వర్గం:1994 తెలుగు సినిమాలు	Category:1994年電影
వర్గం:1989 తెలుగు సినిమాలు	Category:1989年電影
వర్గం:1997 తెలుగు సినిమాలు	Category:1997年電影
వర్గం:2002 తెలుగు సినిమాలు	Category:2002年电影
వర్గం:2004 తెలుగు సినిమాలు	Category:2004年電影
వర్గం:1995 తెలుగు సినిమాలు	Category:1995年电影
వర్గం:2005 తెలుగు సినిమాలు	Category:2005年电影
వర్గం:2007 తెలుగు సినిమాలు	Category:2007年电影
వర్గం:2008 తెలుగు సినిమాలు	Category:2008年电影
వర్గం:2010 తెలుగు సినిమాలు	Category:2010年電影
వర్గం:2011 తెలుగు సినిమాలు	Category:2011年电影
వర్గం:2009 తెలుగు సినిమాలు	Category:2009年電影
వర్గం:కంప్యూటరు పత్రికలు	Category:電腦雜誌
వర్గం:భూటాన్ భాషలు	Category:不丹语言
వర్గం:భారతీయ భాషలు	Category:印度語言
వర్గం:భారతదేశంలోని పర్వతాలు	Category:印度山峰
వర్గం:మహా సముద్రాలు	Category:远洋
వర్గం:మొలస్కా	Category:软体动物门
వర్గం:ఆపరేటింగ్ సిస్టమ్స్	Category:操作系统
వర్గం:నియంతృత్వం	Category:专政
వర్గం:గోవా	Category:果阿邦
వర్గం:కర్ణాటక	Category:卡纳塔克邦
వర్గం:గుజరాత్	Category:古吉拉特邦
వర్గం:జార్ఖండ్	Category:贾坎德邦
వర్గం:తమిళనాడు	Category:泰米尔纳德邦
వర్గం:పంజాబ్	Category:旁遮普邦
వర్గం:మధ్య ప్రదేశ్	Category:中央邦
వర్గం:రాజస్థాన్	Category:拉贾斯坦邦
వర్గం:హర్యానా	Category:哈里亚纳邦
వర్గం:ఉత్తర ప్రదేశ్	Category:北方邦
వర్గం:పశ్చిమ బెంగాల్	Category:西孟加拉邦
వర్గం:ఒరిస్సా	Category:奥里萨邦
వర్గం:సినిమా పురస్కారాలు	Category:电影奖项
వర్గం:రుతువులు	Category:季節
వర్గం:అనోనేసి	Category:番荔枝科
వర్గం:అపోసైనేసి	Category:夾竹桃科
వర్గం:కుకుర్బిటేసి	Category:葫芦科
వర్గం:అకాంథేసి	Category:爵床科
వర్గం:1869 నవలలు	Category:1962年小說
వర్గం:నిర్మాణ సామాగ్రి	Category:建筑材料
వర్గం:జైనమతము	Category:耆那教
వర్గం:అంతరిక్ష కేంద్రాలు	Category:太空站
వర్గం:పుష్పించే మొక్కలు	Category:香草
వర్గం:వార్తా మాధ్యమాలు	Category:新聞媒體
వర్గం:వాయుగతిశాస్త్రం	Category:空气动力学
వర్గం:శాస్త్రీయ పరిశీలన	Category:科学观察
వర్గం:ఆయుధాలు	Category:武器
వర్గం:ఆంటిగ్వా మరియు బార్బుడా	Category:安提瓜和巴布达
వర్గం:భారతీయ చలన చిత్ర నిర్మాతలు	Category:印度电影监制
వర్గం:కాలక్రమము	Category:年代学
వర్గం:జావా సాఫ్ట్‌వేర్లు	Category:Java平台軟體
వర్గం:వనరులు	Category:资源
వర్గం:1571 జననాలు	Category:1571年出生
వర్గం:ఉచిత ఆపరేటింగు సిస్టములు	Category:自由作業系統
వర్గం:శామ్‌సంగ్ మొబైల్ ఫోన్లు	Category:三星手機
వర్గం:జలాశయాలు	Category:水庫
మూస:India Districts	Template:Infobox India district
పొగాకు ధూమపానం	吸菸
వర్గం:భారతదేశంలో జాతీయ వనాలు	Category:印度国家公园
వర్గం:మొబైల్ ఆటలు	Category:行動電話遊戲
వర్గం:పేకాటలు	Category:牌類遊戲
సహాయం:చరరాశి	Help:变量
మూస:MedalCompetition	Template:MedalCompetition
వర్గం:విరామ చిహ్నాలు	Category:標點符號
వర్గం:చెన్నై	Category:金奈
వర్గం:పండుగలు	Category:节日
వర్గం:హిమాలయాలు	Category:喜马拉雅山脉
వర్గం:మృదుఫలాలు	Category:浆果
వర్గం:సూక్ష్మ అర్థ శాస్త్రము	Category:微观经济学
వర్గం:ఎయిడ్స్	Category:HIV/AIDS
వర్గం:ఆసియా క్రీడలు	Category:亚洲运动会
వర్గం:వాయువులు	Category:气体
వర్గం:అనెలిడా	Category:环节动物门
వర్గం:గుమ్మటాలు	Category:圓頂
వర్గం:పేకముక్కలు	Category:遊戲牌
వర్గం:అలంకార మొక్కలు	Category:園藝植物
వర్గం:User pl	Category:Pl 使用者
వర్గం:రవాణా	Category:交通
వర్గం:పెళ్లి	Category:婚禮
వర్గం:1901 స్థాపితాలు	Category:1901年建立
వర్గం:1927 స్థాపితాలు	Category:1927年建立
వర్గం:1920 స్థాపితాలు	Category:1920年建立
వర్గం:1923 స్థాపితాలు	Category:1923年建立
వర్గం:1966 స్థాపితాలు	Category:1966年建立
వర్గం:1965 స్థాపితాలు	Category:1965年建立
వర్గం:1957 స్థాపితాలు	Category:1957年建立
వర్గం:1968 స్థాపితాలు	Category:1968年建立
వర్గం:యోగా	Category:瑜伽
వర్గం:2011 స్థాపితాలు	Category:2011年建立
వర్గం:2007 స్థాపితాలు	Category:2007年建立
వర్గం:2006 స్థాపితాలు	Category:2006年建立
వర్గం:1000లు	Category:1000年代
వర్గం:1590లు	Category:1590年代
వర్గం:1620లు	Category:1620年代
వర్గం:1600లు	Category:1600年代
వర్గం:1690లు	Category:1690年代
వర్గం:980లు	Category:980年代
వర్గం:కంప్యూటర్ కీబోర్డులు	Category:鍵盤
వర్గం:రేడియో ఖగోళశాస్త్రం	Category:射电天文学
వర్గం:ఉత్తర అమెరికా	Category:北美洲
వర్గం:ఎడారులు	Category:沙漠
వర్గం:1990 తెలుగు సినిమాలు	Category:1990年電影
వర్గం:సరస్సులు	Category:湖泊
వర్గం:జెండాలు	Category:旗帜
వర్గం:ఆర్థిక వేత్తలు	Category:经济学家
మూస:Infobox element/isotopes decay2	Template:Infobox element/isotopes decay2
మూస:Infobox element/isotopes decay3	Template:Infobox element/isotopes decay3
మూస:సమాచారపెట్టె భాష	Template:Infobox Language
వర్గం:యుఎస్‌బి	Category:USB
వర్గం:ఓషియానియా	Category:大洋洲
పాయిజన్ ఐవీ	毒漆藤
మూస:Wikiversity	Template:Wikiversity
వర్గం:భారతదేశం యొక్క వృక్ష జాతులు	Category:印度植物
వర్గం:నార మొక్కలు	Category:纤维植物
వర్గం:ఆంధ్ర ప్రదేశ్ నగరాలు మరియు పట్టణాలు	Category:安得拉邦城镇
వర్గం:1976 స్థాపితాలు	Category:1976年建立
వర్గం:1830లు	Category:1830年代
వర్గం:క్రీడాకారులు	Category:运动员
వర్గం:జలపాతాలు	Category:瀑布
వర్గం:మహారాష్ట్ర ప్రముఖులు	Category:馬哈拉施特拉邦人
వర్గం:భారతీయ చలన చిత్ర దర్శకులు	Category:印度电影导演
వర్గం:GFDL బొమ్మలు	Category:GFDL图像
వర్గం:1958 తెలుగు సినిమాలు	Category:1958年電影
వర్గం:1975 తెలుగు సినిమాలు	Category:1975年电影
వర్గం:1943 తెలుగు సినిమాలు	Category:1943年電影
వర్గం:1978 తెలుగు సినిమాలు	Category:1978年電影
వర్గం:1988 తెలుగు సినిమాలు	Category:1988年電影
వర్గం:1972 తెలుగు సినిమాలు	Category:1972年电影
వర్గం:1998 తెలుగు సినిమాలు	Category:1998年电影
వర్గం:2006 తెలుగు సినిమాలు	Category:2006年電影
వర్గం:1992 తెలుగు సినిమాలు	Category:1992年電影
వర్గం:2000 తెలుగు సినిమాలు	Category:2000年電影
వర్గం:నాగాలాండ్	Category:那加兰邦
వర్గం:జమ్మూ కాశ్మీరు	Category:查谟-克什米尔邦
వర్గం:మహారాష్ట్ర	Category:马哈拉施特拉邦
వర్గం:అరుణాచల్ ప్రదేశ్	Category:阿鲁纳恰尔邦
వర్గం:హిమాచల్ ప్రదేశ్	Category:喜马偕尔邦
వర్గం:ఆంధ్ర ప్రదేశ్	Category:安得拉邦
వర్గం:అసోం	Category:阿萨姆邦
మూస:Infobox amusement park	Template:Infobox amusement park
కారెట్	胡萝卜
వర్గం:అరేసి	Category:天南星科
మూస:Usbktop	Template:Usbktop
మూస:Usbk	Template:Usbk
ది ప్రాడిజీ	超凡樂團
మూస:Infobox polygon	Template:Infobox polygon
వర్గం:భారతదేశ దీవులు	Category:印度岛屿
రవితేజ (నటుడు)	拉維特賈
వర్గం:ప్లాటీహెల్మింథిస్	Category:扁形动物门
వర్గం:2006 పుస్తకాలు	Category:2006年書籍
వర్గం:2000 పుస్తకాలు	Category:2000年書籍
వర్గం:1994 పుస్తకాలు	Category:1994年書籍
వర్గం:1981 పుస్తకాలు	Category:1981年書籍
వర్గం:1973 పుస్తకాలు	Category:1973年書籍
వర్గం:1965 పుస్తకాలు	Category:1965年書籍
వర్గం:1957 పుస్తకాలు	Category:1957年書籍
వర్గం:1956 పుస్తకాలు	Category:1956年書籍
వర్గం:1953 పుస్తకాలు	Category:1953年書籍
వర్గం:1951 పుస్తకాలు	Category:1951年書籍
వర్గం:1937 పుస్తకాలు	Category:1937年書籍
వర్గం:1928 పుస్తకాలు	Category:1928年书籍
వర్గం:1924 పుస్తకాలు	Category:1924年書籍
వర్గం:1917 పుస్తకాలు	Category:1917年書籍
వర్గం:1916 పుస్తకాలు	Category:1916年書籍
వర్గం:నేపాల్ భాషలు	Category:尼泊尔语言
వర్గం:డిజిటల్ గ్రంథాలయాలు	Category:数字图书馆
వర్గం:కబడ్డీ	Category:卡巴迪
మూస:ఇతరవాడుకలు మూసలు	Template:Hatnote templates
వర్గం:పంపులు	Category:泵
వర్గం:నారింజలు	Category:橙
వర్గం:బంతి ఆటలు	Category:球類運動
వికీపీడియా:తెవికీ వార్త	Wikipedia:维基简讯
వర్గం:వేదాలు	Category:吠陀
మూస:Pow	Template:俘虜
వికీపీడియా:మూస డాకుమెంటేషన్	Wikipedia:模板文件頁模式
సత్య నాదెళ్ల	薩帝亞·納德拉
వర్గం:భారతదేశ రాష్ట్రములు మరియు ప్రాంతములు	Category:印度一级行政区
మూస:Countdown	Template:Countdown
వర్గం:సిరాలు	Category:墨水
వర్గం:ఆరంభాలు	Category:初次亮相
వర్గం:మెకానికల్ ఇంజనీరింగ్	Category:机械工程
మ్యూచువల్ ఫండ్	证券投资基金
మూస:Uw-delete1-sandbox	Template:Uw-delete1
మూస:Uw-delete3	Template:Uw-delete3
మూస:Uw-delete4	Template:Uw-delete4
మూస:Uw-delete4im	Template:Uw-delete4im
మూస:Uw-test2	Template:Uw-test2
మూస:Uw-test3	Template:Uw-test3
మూస:Uw-vandalism2	Template:Uw-vandalism2
మూస:Uw-vandalism3	Template:Uw-vandalism3
వర్గం:Articles with invalid date parameter in template	Category:模板中使用无效日期参数的条目
మూస:H:title	Template:H:title
మూస:Rounddown	Template:Rounddown
మూస:UGA	Template:UGA
మూస:UZB	Template:UZB
మూస:GDR	Template:DDDE
మూస:Lang-ga	Template:Lang-ga
కీబోర్డ్	键盘 (消歧义)
మూస:PD-India	Template:PD-India
వర్గం:భారతదేశ రాజకీయ పార్టీలు	Category:印度政黨
వర్గం:1936 పుస్తకాలు	Category:1936年書籍
మూస:Country data Spain	Template:Country data Spain
మూస:Usage of IPA templates	Template:Usage of IPA templates
మూస:PD-old	Template:PD-old
ఆయిల్‌ పామ్	油棕
మూస:Country data Canada	Template:Country data Canada
మూస:Coin-silver-color BG	Template:Coin-silver-color
మూస:Contains Indic text	Template:IndicText
మూస:Convert/BTU	Template:Convert/BTU
మూస:Convert/C-change	Template:Convert/C-change
మూస:Convert/Dual/LoffAoffDxSoffT	Template:Convert/Dual/LoffAoffDxSoffT
మూస:Convert/numdisp/frac1	Template:Convert/numdisp/frac1
మూస:Cookbook	Template:Cookbook
సామూహిక సంభోగం	群交
డెవిల్‌ మే క్రై	惡魔獵人系列
మూస:Uw-ublock	Template:Uw-ublock
రేచీకటి	夜盲症
వర్గం:జింజిబరేసి	Category:薑科
సబ్‌మెర్జ్‌డ్ ఆర్కు వెల్డింగు	埋弧焊
వర్గం:ఆంగ్ల భాష	Category:英语
మూస:Gutenberg	Template:Gutenberg
వర్గం:జంతుప్రదర్శనశాలలు	Category:动物园
యామీ గౌతం	雅蜜·哥坦姆
వర్గం:ఆసియా దేశాలు	Category:亚洲国家
వర్గం:1921 తెలుగు సినిమాలు	Category:1921年電影
మూస:Weather	Template:天氣
మూస:Guideline list	Template:指引列表
మూస:ఛాయాచిత్రకళ	Template:Photography
వర్గం:వైర్లు	Category:导线
వర్గం:వన్యజీవనం	Category:野生生物
మూస:నోబెల్ శాంతి బహుమతి గ్రహీతలు 1976-2000	Template:诺贝尔和平奖获得者
వర్గం:1100లు స్థాపితాలు	Category:1100年代建立
వర్గం:1278 స్థాపితాలు	Category:1278年建立
వర్గం:1279 పతనాలు	Category:1279年废除
వర్గం:1526 స్థాపితాలు	Category:1526年建立
వర్గం:వికీపీడియా గణాంకాలు	Category:维基百科统计
వర్గం:1636 స్థాపితాలు	Category:1636年建立
వర్గం:1828 స్థాపనలు	Category:1828年建立
వర్గం:1838 స్థాపితాలు	Category:1838年建立
వర్గం:1850 స్థాపితాలు	Category:1850年建立
వర్గం:1854 స్థాపితాలు	Category:1854年建立
వర్గం:1857 స్థాపితాలు	Category:1857年建立
వర్గం:1861 స్థాపితాలు	Category:1861年建立
మూస:SJM	Template:SJM
వర్గం:1868 నవలలు	Category:1868年書籍
మూస:RWA	Template:RWA
మూస:REU	Template:REU
మూస:OMIM2	Template:OMIM2
వర్గం:1874 స్థాపితాలు	Category:1874年建立
వర్గం:1875 స్థాపితాలు	Category:1875年建立
మూస:MLT	Template:MLT
మూస:Location map Scotland relief 2	Template:Location map Scotland relief 2
వర్గం:1887 స్థాపితాలు	Category:1887年建立
వర్గం:1890 స్థాపితాలు	Category:1890年建立
వర్గం:1891 స్థాపితాలు	Category:1891年建立
వర్గం:1895 స్థాపితాలు	Category:1895年建立
వర్గం:1896 స్థాపితాలు	Category:1896年建立
మూస:Lbf	Template:Lbf
మూస:Lang-te	Template:Lang-te
మూస:Lang-ml	Template:Lang-ml
మూస:Lang-kn	Template:Lang-kn
మూస:Lang-es	Template:Lang-es
మూస:Lang-bn	Template:Lang-bn
మూస:KEN	Template:KEN
మూస:JAM	Template:JAM
వర్గం:ఉత్తరాఖండ్	Category:北阿坎德邦
వర్గం:1933 పుస్తకాలు	Category:1933年書籍
వర్గం:1935 తెలుగు సినిమాలు	Category:1935年电影
మూస:ISO 639 name eo	Template:ISO 639 name eo
మూస:HND	Template:HND
వర్గం:1944 తెలుగు సినిమాలు	Category:1944年电影
వర్గం:1945 తెలుగు సినిమాలు	Category:1945年電影
వర్గం:1947 తెలుగు సినిమాలు	Category:1947年电影
వర్గం:1948 పుస్తకాలు	Category:1948年書籍
వర్గం:1948 తెలుగు సినిమాలు	Category:1948年電影
